film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
APC,Bhaktha Prahladha,1932,1930s,,H.M. Reddy,,"The first sound film in Telugu is a classic mythological drawn from the Vishnu Purana . Prahlada, the son of the demon Hiranyakashapu (Subbaiah), defies his father and worships Vishnu. He is imprisoned but Vishnu protects him. The film adapts a stage production by one of the Surabhi Theatre troupes, which was taken to Bombay's Krishna Studio to shoot the film. The verses and the dialogue were left intact. Its success prompted many more adaptations from plays e.g. Badami's Paduka Pattabhisekham and Shakuntala (both 1932). Rathod did the Hindi version of the film with actors Neelam, Hydershah and Kumar Mukund.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/APC/info,
BAU,Sri Rama Paduka Pattabhishekham,1932,1930s,,Sarvottam Badhami,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BAU/info,
BDW,Chinthamani,1933,1930s,,Kallakuri Sadasivarao,,"Chintamani or Cintamani (jewel), a wish-fulfilling jewel in both Hindu and Buddhist traditions

The Tamil epic Cīvaka Cintāmaṇi, one of the five great Tamil epics of 5th century",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BDW/info,
BGM,Prithviputhra,1933,1930s,,Potina Srinivasa Rao,,"The Pauranic story of Narakasura, the demon who, when slayed by Krishna, asks that the day of his death be celebrated by mankind and that he be allowed to descend to earth every year to witness the festivity. Financed by an AP exhibitor, the film, made at the Saraswati Cinetone, was probably the fist locally financed Telugu film.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BGM/info,
BHMS,Ramadasu,1933,1930s,,Ghantasala Radhakrishnaiah,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHMS/info,
BGT,Ramadasu,1933,1930s,,Aktar Nawaz,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BGT/info,
BBY,Sakuntala,1933,1930s,,Sarvottam Badhami,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BBY/info,
BHL,Sathi Savithri,1933,1930s,,H.M. Reddy,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BHL/info,
BHJ,Sathi Savithri,1933,1930s,,C. Pullaiah,,"Mahabharata legend in which Princess Savitri marries Satyavan despite a curse that foretells his death within a year. She manages to get Yama (Gaggaiah), the god of death, to restore her husband to life. With this film the Calcutta- based studio tried to compete with the entry of Bombay studios into the nascent Telugu cinema, inaugurated by H.M. Reddy's Bhakta Prahlada (1931) using actors from the Surabhi theatres troupe. Pullaiah's version introduces the star Gaggaiah.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BHJ/info,
BHK,Savithri,1933,1930s,,Ramanandam,,"Sati Savitri is a 1933 Indian Telugu language mythological film directed by C. Pullayya. Based on a popular stage play by Mylavaram Bala Bharathi Samajam, the film was a cinematic adaptation of the Mahabharata's Aranya Parva, focusing on the legendary story of Savitri and Satyavan. It starred stage actors Vemuri Gaggayya as Yama and Dasari Ramathilakam as Savitri.
Produced in Calcutta on a lavish budget of ₹75,000, Sati Savitri was the first film by East India Film Company. The film's release coincided with another adaptation of the same name directed by H. M. Reddy in Bombay, though Pullayya's version emerged as the commercial success. Gaggayya’s portrayal of Yama received widespread acclaim and established him as a major star. The film became a hit, earning recognition both locally and internationally, including an honorary diploma at the 2nd Venice International Film Festival.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/BHK/info,"There was a prince in India named Aswapati who ruled over the kingdom of Madra. He married Queen Malavi. They did not have a child for many years. Aswapati invoked Savitri, his favourite deity, and by the grace of God, they had a daughter named Savitri. She grew into a lovely maiden and was always playing in the palace and in the forest with her companion Vasantika. She often used to relate her dreams to her companion, and once she portrayed in words the form and beauty of her beloved.
One day, her pet deer escaped into the forest and both Savitri and Vasantika ran after it. They found that the deer was held and kept in captivity by Prince Satyavanta, son of King Dyumatsena, who was collecting fruits and flowers along with his comrade Saradvata. Savitri then recalled the features of the young man whom she saw in the dream and intimated the fact to her companion. Eventually she got her deer back, but she could not forget Satyavanta. She made a portrait of her beloved and worshipped him.
Her parents are anxiously contemplating her marriage. Narada visited the kingdom and strongly prevailed upon them to have a matrimonial alliance with Satyavanta. The marriage was celebrated with all religious formalities. Savitri knew through Narada that her husband would not live long. As the destined day was approaching, she was closely watching his movements and accompanying him.
Three days before the fateful moment, she commenced her fast and went into the forest with her Lord, where he would hew wood. When the sun reached the zenith, Satyavanta complained of a headache and fell down. Within minutes, Yama, the God of Death, seated on his Mahisha and relentlessly wrenched the life out of Satyavanta's body.
Seeing Yama deprive her lord's life, she questioned and argued with him about his authority to deal with a lady of spotless chastity and affection. Yama alternately appealed to her, threatened her, and even opened up the scenes of hell with its terrors and dire punishments. But nothing daunted her; she pursued him, crossed the Vaitarani, and compelled him to restore the life of her beloved Satyavanta. Greatly pleased with her wisdom, courage, and chastity, he also gave her many a boon, which conferred, among others, progeny to Aswapati and kingdom to Dyumatsena."
